n,k,comparisons
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,200,2393
800,400,2419
800,400,2419
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,400,2109
800,600,2066
800,600,2066
800,600,2066
800,600,2066
800,600,2066
800,600,2066
800,600,2066
800,600,2066
800,600,2066
800,600,2066
800,600,2066
800,600,2066
800,600,2066
800,600,2066
800,600,2066
800,600,2066
800,600,2066
800,600,2066
800,600,2066
800,600,2066
800,600,2066
800,600,1862
800,600,1862
800,600,1862
800,600,1862
800,600,1862
800,600,1862
800,600,1862
800,600,1862
800,600,1862
800,600,1862
800,600,1862
800,600,1862
800,600,1862
800,600,1862
800,600,1862
800,600,1862
800,600,1862
800,600,1862
800,600,1862
800,600,1862
800,600,1862
800,600,1862
800,600,1862
800,600,1862
800,600,1862
800,600,1862
800,600,1862
800,600,1862
800,600,1862
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2409
800,800,2430
800,800,2430
800,800,2430
800,800,2430
800,800,2430
800,800,2430
800,800,2430
800,800,2430
800,800,2430
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,1,2765
900,225,2756
900,225,2756
900,225,2756
900,225,2756
900,225,2756
900,225,2756
900,225,2756
900,225,2756
900,225,2756
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
900,225,2748
