n,k,comparisons,swaps
500,125,2007,1028
500,125,2007,1028
500,125,2007,1028
500,125,2007,1028
500,125,2007,1028
500,125,2007,1028
500,125,2007,1028
500,125,2007,1028
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,2335,1234
500,250,1083,540
500,250,1083,540
500,250,1083,540
500,250,1083,540
500,250,1083,540
500,250,1083,540
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,375,1664,873
500,500,869,498
500,500,869,498
500,500,869,498
500,500,869,498
500,500,869,498
500,500,869,498
500,500,869,498
500,500,869,498
500,500,869,498
500,500,869,498
500,500,869,498
500,500,869,498
500,500,869,498
500,500,869,498
500,500,869,498
500,500,869,498
500,500,822,493
500,500,822,493
500,500,822,493
500,500,822,493
500,500,822,493
500,500,822,493
500,500,822,493
500,500,822,493
500,500,822,493
500,500,822,493
500,500,822,493
500,500,822,493
500,500,822,493
500,500,822,493
500,500,822,493
500,500,822,493
500,500,822,493
500,500,822,493
500,500,822,493
500,500,822,493
500,500,822,493
500,500,822,493
500,500,822,493
500,500,822,493
500,500,822,493
500,500,822,493
500,500,822,493
500,500,822,493
500,500,822,493
500,500,822,493
500,500,822,493
500,500,822,493
500,500,822,493
500,500,822,493
600,1,940,355
600,1,940,355
600,1,940,355
600,1,940,355
600,1,940,355
600,1,940,355
600,1,940,355
600,1,940,355
600,1,940,355
600,1,940,355
600,1,940,355
600,1,940,355
600,1,940,355
600,1,940,355
600,1,940,355
600,1,940,355
600,1,940,355
600,1,940,355
600,1,940,355
600,1,940,355
600,1,940,355
600,1,940,355
600,1,940,355
600,1,940,355
600,1,940,355
600,1,940,355
600,1,940,355
600,1,940,355
600,1,940,355
600,1,940,355
600,1,940,355
600,1,940,355
600,1,940,355
600,1,940,355
600,1,940,355
600,1,940,355
600,1,940,355
600,1,651,62
600,1,651,62
600,1,651,62
600,1,651,62
600,1,651,62
600,1,651,62
600,1,651,62
600,1,651,62
600,1,651,62
600,1,651,62
600,1,651,62
600,1,651,62
600,1,651,62
600,150,1534,403
600,150,1534,403
600,150,1534,403
